Firm,Data point,Value on Prop Firm Match,Value on official site,Match? (Yes/No/Unclear),Notes,Official source URL,Date checked
Apex Trader Funding,Evaluation price ($50K EOD No Activation),$109.00 (list $1090; 90% MATCH code),One-time fee; promo pricing varies (~$45-$109 with codes),Unclear,PFM shows discounted checkout price only; official base varies by promo cycle,https://apextraderfunding.com/,7/8/2026
Apex Trader Funding,Profit target ($50K),$3000 (implied on challenge pages),"$3,000 ",Yes,Matches Apex 4.0 EOD help center table,https://apextraderfunding.com/help-center/eod-trailing-drawdown-accounts/eod-evaluations/,7/8/2026
Apex Trader Funding,Drawdown amount and type,$625-$1500 in AI summary (firm page),$2000 EOD trailing (50K),No,PFM AI summary understates max drawdown; 50K EOD is $2000 per official help,https://apextraderfunding.com/help-center/eod-trailing-drawdown-accounts/eod-evaluations/,7/8/2026
Apex Trader Funding,Daily loss limit,$1000 on EOD (rules section),$1000 on EOD eval,Yes,Matches official EOD eval parameters,https://apextraderfunding.com/help-center/eod-trailing-drawdown-accounts/eod-evaluations/,7/8/2026
Apex Trader Funding,Profit split,100% (sim funded PA),100% on requested payouts (EOD PA),Yes,Matches official EOD payout help,https://apextraderfunding.com/help-center/payouts/eod-payouts/,7/8/2026
Apex Trader Funding,Minimum payout,$500 ,$500 ,Yes,Matches official EOD payout help,https://apextraderfunding.com/help-center/payouts/eod-payouts/,7/8/2026
Apex Trader Funding,Activation / reset fee,No Activation challenge path listed,No monthly reset on 4.0; PA activation on Standard path ($99 EOD cited),Unclear,PFM lists No Activation SKUs but firm page FAQ still references legacy rules,https://apextraderfunding.com/,7/8/2026
Apex Trader Funding,Current promo/discount,90% off code MATCH,Active promos common (80-90% off),Yes,Promo exists on both,https://propfirmmatch.com/futures/prop-firms/apex-trader-funding,7/8/2026
Apex Trader Funding,LEGACY FAQ: 5:1 risk-reward rule,Listed in FAQ as active rule,Removed in Apex 4.0 (March 1 2026),No,OUTDATED: FAQ still describes removed legacy rule on main firm page,https://propfirmmatch.com/futures/prop-firms/apex-trader-funding,7/8/2026
Apex Trader Funding,LEGACY FAQ: 30% consistency,Listed in FAQ as active rule,50% consistency on funded PA under 4.0,No,OUTDATED: FAQ cites 30% legacy rule; official 4.0 uses 50% on PA,https://apextraderfunding.com/help-center/payouts/eod-payouts/,7/8/2026
